phone_id,t,lat,lon
356000000000000,0.0,38.540894,-121.749281
356000000000018,0.0,38.540984,-121.74949
356000000000026,0.0,38.541188,-121.749226
356000000000034,0.0,38.540922,-121.749136
356000000000042,0.0,38.540896,-121.749406
356000000000059,0.0,38.541111,-121.749523
356000000000067,0.0,38.540973,-121.749633
356000000000075,0.0,38.541128,-121.749275
356000000000083,0.0,38.541148,-121.749522
356000000000091,0.0,38.540886,-121.749184
356000000000109,0.0,38.541197,-121.749186
356000000000117,0.0,38.540953,-121.749453
356000000000125,0.0,38.541035,-121.749099
356000000000133,0.0,38.540927,-121.749595
356000000000141,0.0,38.541155,-121.749162
356000000000158,0.0,38.541212,-121.749185
356000000000166,0.0,38.541321,-121.749341
356000000000174,0.0,38.541132,-121.749431
356000000000182,0.0,38.541162,-121.749172
356000000000190,0.0,38.541143,-121.749154
356000000000208,0.0,38.540904,-121.749244
356000000000216,0.0,38.541013,-121.749517
356000000000224,0.0,38.540988,-121.749602
356000000000232,0.0,38.541008,-121.74959
356000000000240,0.0,38.541047,-121.749283
356000000000257,0.0,38.540977,-121.749436
356000000000265,0.0,38.541305,-121.749495
356000000000273,0.0,38.541157,-121.749276
356000000000281,0.0,38.541211,-121.74955
356000000000299,0.0,38.541054,-121.749554
356000000000307,0.0,38.541171,-121.749081
356000000000315,0.0,38.541191,-121.749329
356000000000323,0.0,38.541233,-121.749165
356000000000331,0.0,38.540897,-121.749517
356000000000349,0.0,38.541004,-121.749467
356000000000356,0.0,38.541308,-121.749527
356000000000364,0.0,38.541025,-121.749145
356000000000372,0.0,38.541061,-121.749272
356000000000380,0.0,38.54109,-121.749124
356000000000398,0.0,38.540994,-121.749496
356000000000406,0.0,38.541001,-121.749326
356000000000414,0.0,38.541287,-121.749313
356000000000422,0.0,38.540982,-121.749419
356000000000430,0.0,38.541112,-121.749076
356000000000448,0.0,38.540904,-121.749596
356000000000455,0.0,38.541166,-121.749585
356000000000463,0.0,38.541073,-121.749194
356000000000471,0.0,38.541055,-121.749612
356000000000489,0.0,38.541121,-121.749077
356000000000497,0.0,38.541271,-121.749091
356000000000505,0.0,38.541208,-121.749641
356000000000513,0.0,38.541125,-121.749257
356000000000521,0.0,38.541172,-121.749495
356000000000539,0.0,38.541079,-121.749584
356000000000547,0.0,38.541313,-121.749388
356000000000554,0.0,38.541002,-121.749146
356000000000562,0.0,38.540963,-121.749361
356000000000570,0.0,38.541275,-121.749125
356000000000588,0.0,38.541171,-121.749477
356000000000596,0.0,38.540952,-121.749299
356000000000604,0.0,38.541126,-121.749211
356000000000612,0.0,38.541122,-121.749202
356000000000620,0.0,38.541029,-121.749648
356000000000638,0.0,38.541301,-121.749637
356000000000646,0.0,38.541258,-121.749144
356000000000653,0.0,38.540909,-121.749472
356000000000661,0.0,38.54131,-121.749145
356000000000679,0.0,38.541102,-121.749599
356000000000687,0.0,38.541226,-121.749608
356000000000695,0.0,38.540941,-121.749209
356000000000703,0.0,38.541131,-121.749375
356000000000711,0.0,38.541276,-121.749496
356000000000729,0.0,38.540978,-121.749405
356000000000737,0.0,38.541212,-121.749339
356000000000745,0.0,38.541023,-121.749533
356000000000752,0.0,38.541176,-121.749077
356000000000760,0.0,38.541116,-121.749397
356000000000778,0.0,38.540984,-121.749579
356000000000786,0.0,38.541148,-121.749454
356000000000794,0.0,38.540982,-121.749516
356000000000802,0.0,38.541167,-121.749607
356000000000810,0.0,38.541291,-121.749517
356000000000828,0.0,38.540915,-121.749155
356000000000836,0.0,38.541184,-121.749512
356000000000844,0.0,38.540943,-121.749525
356000000000851,0.0,38.54114,-121.749112
356000000000869,0.0,38.541236,-121.749377
356000000000877,0.0,38.540969,-121.749185
356000000000885,0.0,38.541077,-121.749592
356000000000893,0.0,38.541093,-121.749405
356000000000901,0.0,38.541186,-121.74923
356000000000919,0.0,38.540927,-121.749084
356000000000927,0.0,38.541036,-121.749417
356000000000935,0.0,38.540995,-121.749154
356000000000943,0.0,38.541085,-121.749539
356000000000950,0.0,38.541008,-121.749406
356000000000968,0.0,38.541299,-121.749505
356000000000976,0.0,38.541271,-121.749394
356000000000984,0.0,38.540906,-121.749332
356000000000992,0.0,38.54126,-121.749075
356000000000000,2.5,38.540875,-121.749302
356000000000018,2.5,38.540984,-121.74949
356000000000026,2.5,38.541194,-121.749256
356000000000034,2.5,38.540922,-121.749136
356000000000042,2.5,38.540924,-121.7494
356000000000059,2.5,38.541084,-121.749525
356000000000067,2.5,38.54095,-121.749621
356000000000075,2.5,38.541102,-121.749264
356000000000083,2.5,38.541177,-121.749525
356000000000091,2.5,38.540886,-121.749184
356000000000109,2.5,38.541224,-121.749199
356000000000117,2.5,38.540926,-121.749455
356000000000125,2.5,38.541035,-121.749099
356000000000133,2.5,38.540903,-121.749601
356000000000141,2.5,38.541155,-121.749162
356000000000158,2.5,38.541196,-121.749157
356000000000166,2.5,38.541307,-121.749316
356000000000174,2.5,38.541132,-121.749431
356000000000182,2.5,38.541162,-121.749172
356000000000190,2.5,38.54114,-121.749121
356000000000208,2.5,38.540885,-121.749264
356000000000216,2.5,38.541032,-121.7495
356000000000224,2.5,38.540988,-121.749602
356000000000232,2.5,38.541024,-121.749565
356000000000240,2.5,38.541029,-121.7493
356000000000257,2.5,38.540995,-121.749456
356000000000265,2.5,38.54128,-121.749514
356000000000273,2.5,38.54117,-121.749244
356000000000281,2.5,38.541211,-121.74955
356000000000299,2.5,38.541047,-121.749588
356000000000307,2.5,38.541189,-121.749061
356000000000315,2.5,38.541191,-121.749329
356000000000323,2.5,38.541233,-121.749165
356000000000331,2.5,38.540881,-121.749543
356000000000349,2.5,38.541004,-121.749467
356000000000356,2.5,38.541308,-121.749527
356000000000364,2.5,38.54105,-121.749164
356000000000372,2.5,38.541062,-121.749237
356000000000380,2.5,38.541092,-121.74916
356000000000398,2.5,38.54102,-121.74951
356000000000406,2.5,38.541012,-121.749299
356000000000414,2.5,38.541297,-121.749339
356000000000422,2.5,38.541008,-121.749424
356000000000430,2.5,38.541091,-121.749092
356000000000448,2.5,38.540904,-121.749596
356000000000455,2.5,38.541166,-121.749523
356000000000463,2.5,38.541053,-121.749169
356000000000471,2.5,38.541055,-121.749612
356000000000489,2.5,38.541102,-121.74905
356000000000497,2.5,38.541247,-121.749097
356000000000505,2.5,38.541208,-121.749641
356000000000513,2.5,38.541102,-121.749248
356000000000521,2.5,38.541147,-121.749499
356000000000539,2.5,38.541051,-121.749577
356000000000547,2.5,38.541307,-121.749358
356000000000554,2.5,38.541025,-121.749157
356000000000562,2.5,38.540975,-121.749389
356000000000570,2.5,38.541302,-121.749126
356000000000588,2.5,38.541174,-121.749447
356000000000596,2.5,38.540952,-121.749299
356000000000604,2.5,38.541141,-121.749239
356000000000612,2.5,38.541145,-121.749201
356000000000620,2.5,38.541046,-121.749667
356000000000638,2.5,38.541301,-121.749637
356000000000646,2.5,38.541253,-121.749114
356000000000653,2.5,38.540909,-121.749434
356000000000661,2.5,38.5413,-121.749112
356000000000679,2.5,38.541124,-121.74966
356000000000687,2.5,38.541202,-121.749591
356000000000695,2.5,38.540945,-121.749174
356000000000703,2.5,38.541108,-121.749369
356000000000711,2.5,38.541271,-121.749466
356000000000729,2.5,38.540996,-121.749431
356000000000737,2.5,38.541212,-121.749339
356000000000745,2.5,38.541001,-121.749516
356000000000752,2.5,38.541167,-121.74905
356000000000760,2.5,38.541116,-121.749397
356000000000778,2.5,38.540985,-121.749542
356000000000786,2.5,38.541148,-121.749454
356000000000794,2.5,38.541007,-121.749527
356000000000802,2.5,38.541191,-121.749587
356000000000810,2.5,38.541291,-121.749517
356000000000828,2.5,38.540929,-121.749181
356000000000836,2.5,38.541165,-121.74954
356000000000844,2.5,38.540943,-121.749525
356000000000851,2.5,38.541158,-121.749089
356000000000869,2.5,38.541253,-121.749351
356000000000877,2.5,38.540947,-121.749161
356000000000885,2.5,38.541077,-121.749592
356000000000893,2.5,38.541093,-121.749405
356000000000901,2.5,38.541164,-121.749217
356000000000919,2.5,38.540927,-121.749084
356000000000927,2.5,38.541018,-121.749438
356000000000935,2.5,38.540976,-121.749137
356000000000943,2.5,38.54111,-121.749556
356000000000950,2.5,38.540981,-121.749396
356000000000968,2.5,38.541272,-121.749491
356000000000976,2.5,38.541271,-121.749394
356000000000984,2.5,38.540891,-121.749305
356000000000992,2.5,38.54126,-121.749075
356000000000000,5.0,38.540855,-121.749322
356000000000018,5.0,38.540984,-121.74949
356000000000026,5.0,38.5412,-121.749286
356000000000034,5.0,38.540922,-121.749136
356000000000042,5.0,38.540952,-121.749394
356000000000059,5.0,38.541058,-121.749526
356000000000067,5.0,38.540927,-121.74961
356000000000075,5.0,38.541075,-121.749252
356000000000083,5.0,38.541206,-121.749529
356000000000091,5.0,38.540886,-121.749184
356000000000109,5.0,38.541251,-121.749212
356000000000117,5.0,38.540899,-121.749456
356000000000125,5.0,38.541035,-121.749099
356000000000133,5.0,38.54088,-121.749607
356000000000141,5.0,38.541155,-121.749162
356000000000158,5.0,38.541181,-121.749129
356000000000166,5.0,38.541293,-121.749291
356000000000174,5.0,38.541132,-121.749431
356000000000182,5.0,38.541162,-121.749172
356000000000190,5.0,38.541137,-121.749088
356000000000208,5.0,38.540867,-121.749284
356000000000216,5.0,38.541051,-121.749482
356000000000224,5.0,38.540988,-121.749602
356000000000232,5.0,38.54104,-121.74954
356000000000240,5.0,38.54101,-121.749316
356000000000257,5.0,38.541012,-121.749477
356000000000265,5.0,38.541255,-121.749533
356000000000273,5.0,38.541183,-121.749212
356000000000281,5.0,38.541211,-121.74955
356000000000299,5.0,38.541041,-121.749622
356000000000307,5.0,38.541206,-121.749041
356000000000315,5.0,38.541191,-121.749329
356000000000323,5.0,38.541233,-121.749165
356000000000331,5.0,38.540865,-121.749569
356000000000349,5.0,38.541004,-121.749467
356000000000356,5.0,38.541308,-121.749527
356000000000364,5.0,38.541075,-121.749182
356000000000372,5.0,38.541062,-121.749202
