t,outward_fraction,mean_outward_speed_mps
0.0,0.0,0.0
2.5,0.0,0.0
5.0,0.0,0.0
7.5,0.02,2.5052377235351355
10.0,0.3,2.407130358680584
12.5,0.58,2.3415419175175844
15.0,0.66,2.3259400689975243
17.5,0.66,2.3258760979311304
20.0,0.6136363636363636,2.293351402475795
22.5,0.425,2.2582776806545968
25.0,0.21428571428571427,2.181620331013174
27.5,0.10869565217391304,2.1345775873658255
30.0,0.0,0.0
32.5,0.04,2.12842982287666
35.0,0.20408163265306123,2.292781761140638
37.5,0.34,2.3098779035880193
40.0,0.46938775510204084,2.3217826243847073
42.5,0.5333333333333333,2.3404258302984404
45.0,0.48936170212765956,2.3360958437184993
47.5,0.375,2.331321531277337
50.0,0.2564102564102564,2.2301752309227387
52.5,0.13636363636363635,2.28326084698395
55.0,0.10416666666666667,2.206679909182298
57.5,0.125,2.228536292477003
60.0,0.25,2.3152087389008282
62.5,0.2653061224489796,2.3475248952934966
65.0,0.36,2.374344438136943
67.5,0.3541666666666667,2.349847843169938
70.0,0.4090909090909091,2.2910102475057013
72.5,0.37209302325581395,2.3078425326889396
75.0,0.2826086956521739,2.3021367234574854
77.5,0.1956521739130435,2.2898717442454855
80.0,0.14583333333333334,2.2505294590771645
82.5,0.1836734693877551,2.3177146478290993
85.0,0.2,2.3539491817791722
87.5,0.28,2.3063627422176123
90.0,0.32,2.281710629799885
92.5,0.34,2.2718631702840235
95.0,0.32608695652173914,2.2440651771561737
97.5,0.2857142857142857,2.273571225375374
100.0,0.29545454545454547,2.2753042833761543
102.5,0.2391304347826087,2.3301780424557843
105.0,0.17391304347826086,2.338199871278604
107.5,0.2127659574468085,2.2697831811421993
110.0,0.22727272727272727,2.287417422426393
112.5,0.15555555555555556,2.3410506479809348
115.0,0.2,2.278398863886369
117.5,0.23404255319148937,2.2290722775533798
120.0,0.2765957446808511,2.228706316667428
122.5,0.3617021276595745,2.2162764993708333
125.0,0.4166666666666667,2.2345811107182225
127.5,0.4166666666666667,2.2420597443092896
130.0,0.36363636363636365,2.2339723939376066
132.5,0.32558139534883723,2.260442701939227
135.0,0.2,2.2503701774629983
137.5,0.1702127659574468,2.3136861090365035
140.0,0.1276595744680851,2.327737726804399
142.5,0.0975609756097561,2.2575329667208464
145.0,0.14285714285714285,2.2862446185590666
147.5,0.2857142857142857,2.2793577401690945
150.0,0.36,2.2879618285411407
152.5,0.4166666666666667,2.283189672985319
155.0,0.4375,2.284383081606775
157.5,0.4666666666666667,2.2819808020259904
160.0,0.37777777777777777,2.2772322554963598
162.5,0.2727272727272727,2.3236959955736736
165.0,0.23404255319148937,2.290698899274204
167.5,0.15555555555555556,2.373446621044241
170.0,0.19148936170212766,2.326902852642368
172.5,0.20833333333333334,2.2991871701563764
175.0,0.35555555555555557,2.247673448077317
177.5,0.34782608695652173,2.2516303971965392
180.0,0.40425531914893614,2.2514341598338707
182.5,0.41304347826086957,2.2924843642071626
185.0,0.34782608695652173,2.2639594802460152
187.5,0.27906976744186046,2.2635788306755042
190.0,0.3333333333333333,2.2336551142003382
192.5,0.2826086956521739,2.24655944879822
195.0,0.3541666666666667,2.238393292325372
197.5,0.34782608695652173,2.2593602915784317
200.0,0.3958333333333333,2.2491265355908783
202.5,0.3409090909090909,2.239883806189524
205.0,0.2727272727272727,2.190050446042088
207.5,0.2916666666666667,2.1878092101240663
210.0,0.375,2.2765333544159088
212.5,0.34782608695652173,2.275869452882903
215.0,0.3617021276595745,2.2815697884195676
217.5,0.30434782608695654,2.251826929738376
220.0,0.3404255319148936,2.1969407109528727
222.5,0.2826086956521739,2.2172519550349183
225.0,0.2978723404255319,2.237242166962262
227.5,0.28888888888888886,2.210104506468004
230.0,0.30612244897959184,2.228527045167048
232.5,0.2978723404255319,2.2041377155528874
235.0,0.29545454545454547,2.259134012132995
237.5,0.21739130434782608,2.2563164502330335
240.0,0.23404255319148937,2.292384540387583
242.5,0.23404255319148937,2.311188837206589
245.0,0.1956521739130435,2.3084633048328893
247.5,0.22916666666666666,2.3096942309681325
250.0,0.1875,2.3094831605247546
252.5,0.25,2.261650689408343
255.0,0.24444444444444444,2.3036039942392894
257.5,0.22916666666666666,2.2919365296003638
260.0,0.22727272727272727,2.2532451381623537
262.5,0.19148936170212766,2.238770281933032
265.0,0.13043478260869565,2.2095904098575585
267.5,0.1875,2.2524296058210873
270.0,0.22448979591836735,2.2189649857880753
272.5,0.21739130434782608,2.25589639412053
275.0,0.23404255319148937,2.2636253865093816
277.5,0.1956521739130435,2.238125896710058
280.0,0.23404255319148937,2.2674451985558854
282.5,0.17777777777777778,2.307694481535272
285.0,0.16326530612244897,2.3301221578771485
287.5,0.10638297872340426,2.288083090939043
290.0,0.12,2.243155142644977
292.5,0.13043478260869565,2.3264310444231557
295.0,0.15217391304347827,2.322613373857051
297.5,0.19148936170212766,2.273893528800615
300.0,0.24,2.3008033310238725
302.5,0.2608695652173913,2.250620132760984
305.0,0.21739130434782608,2.2382961918296114
307.5,0.20454545454545456,2.222399191459869
310.0,0.22,2.2257269104164408
312.5,0.17391304347826086,2.244898085290321
315.0,0.1702127659574468,2.270423422246106
317.5,0.15217391304347827,2.2098659080658885
320.0,0.20833333333333334,2.2004783449973915
322.5,0.3125,2.1879922551568165
325.0,0.3695652173913043,2.2351378272793054
